rank,token,count,freq
1,the,173736,0.047421
2,to,86940,0.023730
3,a,77335,0.021108
4,of,77251,0.021086
5,and,70104,0.019135
6,ax,62507,0.017061
7,i,61738,0.016851
8,in,50956,0.013908
9,is,48965,0.013365
10,that,45952,0.012543
11,it,38685,0.010559
12,for,32322,0.008822
13,you,30508,0.008327
14,s,27857,0.007604
15,t,25183,0.006874
16,on,23651,0.006456
17,this,23521,0.006420
18,be,22056,0.006020
19,have,21326,0.005821
20,with,20902,0.005705
21,are,20854,0.005692
22,not,20699,0.005650
23,as,19051,0.005200
24,m,18322,0.005001
25,or,17417,0.004754
26,was,15879,0.004334
27,if,15828,0.004320
28,but,15558,0.004247
29,they,15295,0.004175
30,x,14196,0.003875
31,from,13583,0.003707
32,by,13372,0.003650
33,can,13122,0.003582
34,at,12857,0.003509
35,an,11840,0.003232
36,there,11109,0.003032
37,what,10791,0.002945
38,all,10713,0.002924
39,will,10542,0.002877
40,my,10422,0.002845
41,one,10409,0.002841
42,we,10388,0.002835
43,would,10191,0.002782
44,he,10069,0.002748
45,do,9569,0.002612
46,d,9517,0.002598
47,about,9440,0.002577
48,q,9392,0.002564
49,w,9068,0.002475
50,so,8873,0.002422
